Localities,IRSD Score,IRSD Decile,IRSDA Score,IRSDA Decile,IER Score,IER Decile,IEO Score,IEO Decile,Usual Resident Population
Mango Hill North Lakes,1041.055203,7,1026.054982,8,1042.173724,6.60683513,1016.88194,7,37951
Marburg,1008.211238,5,968.565267,4,1031.474212,6,937.8110173,3,1013
Mareeba,922.2330175,2,906.2463984,2,939.2324602,2,893.5366598,2,11825
Marian,1052.323664,8,994.5195756,6,1086.405198,9,913.3959683,2,4224
Marlborough,977.749337,3,959.1932546,4,1010.684358,5,950.1998432,4,154
Marmor,907.2779637,1,899.1318442,2,961.348874,2,873.0313759,1,208
Maroochydore,1000.096568,5,987.04506,6,952.9882802,2,992.3326834,6,20629
Maryborough,829.6239627,1,822.6079619,1,867.6865785,1,832.3610479,1,15287
Meandarra,939.4783047,2,953.4943387,4,981.0428584,3,1001.253698,7,244
Middlemount,1019.670907,6,971.8296326,5,944.2543027,2,906.779996,2,1899
Miles,917.6330985,2,897.3017983,2,922.8232141,1,889.4646165,2,1874
Millaa Millaa,905.2444179,1,898.5195348,2,930.078127,2,932.1391126,3,523
Millmerran,911.0953088,2,878.134761,1,936.4988972,2,850.5309539,1,1545
Mirani,974.7924283,3,934.8840721,3,1011.739696,5,894.1933971,2,1806
Miriam Vale,858.7687115,1,822.9503085,1,931.1326907,2,801.3131456,1,493
Mission Beach,999.4617976,5,964.0060525,4,978.6636179,3,957.5596319,4,1014
Mitchell,905.1062986,1,890.388804,2,926.3486973,1,855.9728229,1,995
Monto,863.8288752,1,853.1514782,1,891.8653091,1,853.6526856,1,1156
Moore,916.0820315,2,901.7233115,2,960.2575426,2,918.9222944,3,286
Moorooka,1035.686191,7,1043.327563,9,973.8772567,3,1079.447048,10,10783
Moranbah,1036.305502,7,997.6758667,6,997.4457087,4,924.0270097,3,9425
Morningside,1068.966567,9,1088.760723,10,1000.649963,4,1104.281891,10,11755
Morven,898.7405886,1,893.2885595,2,948.4987066,2,887.4827272,2,184
Mossman,911.5915937,2,877.3622108,1,914.1076932,1,885.0301424,2,1935
Mount Garnet,810.6567268,1,829.8641193,1,865.159061,1,867.2610671,1,532
Mount Isa,1113.99557,10,1108.767645,10,1057.048944,7,1110.052959,10,172
Mount Larcom,891.0801679,1,855.4823188,1,937.2192754,2,814.7653695,1,332
Mount Molloy,924.9864982,2,910.5499545,2,970.74788,3,925.6346108,3,266
Mount Morgan,771.9355234,1,778.5930857,1,834.4765074,1,782.554064,1,2018
Mount Ommaney,1091.324183,10,1107.814214,10,1097.930176,10,1110.762291,10,2503
Mount Perry,865.0201443,1,872.6238351,1,930.0063637,2,882.2625099,1,487
Mount Surprise,957.1889114,3,946.4009411,3,949.2583147,2,946.2127993,4,138
Moura,935.4735708,2,904.7197102,2,946.2998566,2,867.9246002,1,1993
Mourilyan,948.4229417,2,901.3298861,2,970.6522647,3,870.6395081,1,509
Mudgeeraba,1032.303019,7,1017.21327,7,1052.370964,7,1007.295186,7,14578
Mundingburra,983.1040622,4,966.8942441,4,942.3830959,2,987.3311664,6,3594
Mundubbera,886.7645389,1,877.9110616,1,898.5261676,1,853.2146066,1,1120
